id,naics,num_employees,lat,lon,size,GEOID
120153,32541206,35,41.91431,-87.663368,Medium,17031
160996,32541206,10,42.047764,-87.683685,Small,17031
348107,32541206,10,42.081589,-87.754593,Small,17031
111584,32541207,10,41.882854,-87.63652,Small,17031
111971,32541207,10,41.890842,-87.654343,Small,17031
112701,32541207,10,41.890354,-87.626442,Small,17031
234756,32541207,160,42.032738,-87.788109,Large,17031
303409,32541207,10,41.978092,-87.873245,Small,17031
129020,32541214,15,41.647079,-87.737206,Small,17031
119814,32541401,30,41.8797,-87.632301,Medium,17031
187696,32541401,4,41.867699,-87.894615,Small,17031
191123,32541401,7,42.072392,-88.198685,Small,17031
252573,32541401,4,42.112022,-87.82872,Small,17031
153938,32541404,4,42.005463,-88.004448,Small,17031
8492,32551005,15,42.051018,-87.977692,Small,17031
30819,32551005,30,41.856403,-87.857063,Medium,17031
112930,32551005,11,41.887482,-87.727463,Small,17031
254600,32551005,15,41.903469,-87.910019,Small,17031
30492,32551007,100,41.738594,-87.81028,Large,17031
118504,32551008,23,41.887566,-87.667969,Small,17031
346617,32551010,44,42.129707,-87.923065,Medium,17031
2938,32551011,30,41.667183,-87.708199,Medium,17031
121018,32551012,50,41.908047,-87.651855,Medium,17031
124078,32551012,80,41.527481,-87.617699,Medium,17031
154702,32551012,15,42.009457,-87.940948,Small,17031
183202,32551012,7,41.606174,-87.641769,Small,17031
271562,32551012,80,42.118423,-88.03727,Medium,17031
327828,32551012,35,41.784134,-87.806992,Medium,17031
115129,32552001,14,41.888203,-87.630203,Small,17031
152705,32552001,100,41.996437,-88.23912,Large,17031
346502,32552001,15,42.147072,-87.928642,Small,17031
122423,32552002,100,41.882542,-87.63752,Large,17031
166772,32552002,15,41.92194,-87.854996,Small,17031
316177,32552002,14,41.614407,-87.620621,Small,17031
346615,32552002,40,42.124912,-87.919189,Medium,17031
224551,32552003,50,41.876373,-87.842667,Medium,17031
116967,32561101,20,41.890568,-87.678741,Small,17031
117753,32561101,20,41.708981,-87.601715,Small,17031
117894,32561101,20,41.852001,-87.666801,Small,17031
117989,32561101,20,42.006779,-87.819695,Small,17031
118010,32561101,20,41.902828,-87.625038,Small,17031
